Component,mean,std,count
LTE/Fitting,0.4054791070834085,0.19422209539343835,12
LTE/Trajectory Update,0.042297050416702044,0.025577115431204587,12
PCD_dynamic/CPD Registration,35.680686234583334,7.975184475661753,12
PCD_dynamic/Downsampling & Chamfer Distance,6.575308250666682,4.499448777804723,18
PCD_dynamic/ICP Fine Alignment,0.018688478000020294,0.021924866689668407,12
PCD_dynamic/PCD Message Handling & Preprocessing,1.1979629539663295e-06,5.915866769439268e-07,324
PCD_dynamic/Reordering Point Clouds,0.013845028499948326,0.017255592068977924,12
RS/2D Object Detection,0.005755368418085967,0.004344671633899891,1770
RS/Bounding Box-based Point Cloud Filtering,0.7345809976146956,0.4717783368697802,1770
RS/Frame Extraction,0.010861561424864864,0.047967913072312504,1770
RS/Point Cloud Transformation/Alignment,0.4029106123146893,0.2114064621716119,1770
