Component,mean,std,count
LTE/Fitting,0.48728462999997646,0.40566905148251353,4
LTE/Trajectory Update,0.04069175974996138,0.017483741861942508,4
PCD_dynamic/CPD Registration,31.724950383749956,13.364601144798417,4
PCD_dynamic/Downsampling & Chamfer Distance,5.946893155142789,4.122864613523603,7
PCD_dynamic/ICP Fine Alignment,0.004340739249982975,0.0025803660870976314,4
PCD_dynamic/PCD Message Handling & Preprocessing,1.286888122690884e-06,6.082350844022625e-07,143
PCD_dynamic/Reordering Point Clouds,0.00630334549987305,0.002816590759949645,4
RS/2D Object Detection,0.0054040608254104635,0.003345322932670438,527
RS/Bounding Box-based Point Cloud Filtering,0.6013681484421276,0.47913732622080674,527
RS/Frame Extraction,0.012096513717277265,0.05856720818467171,527
RS/Point Cloud Transformation/Alignment,0.3597877940512462,0.20556634651221214,527
