Component,mean,std,count
LTE/Fitting,0.1948412029996689,,1
LTE/Trajectory Update,0.0295756159994198,,1
PCD_rigid/Coarse Alignment,0.5326175930003956,,1
PCD_rigid/Downsampling & Chamfer Distance,0.010544116583408392,0.0014017786881293439,12
PCD_rigid/ICP Fine Alignment,0.0057216529994548,,1
PCD_rigid/PCD Message Handling & Preprocessing,0.30597030950017745,0.04804216681617083,12
PCD_rigid/Reordering Point Clouds,0.0080567329996483,,1
RS/2D Object Detection,0.0035459161228827843,0.0008243443925110824,57
RS/Bounding Box-based Point Cloud Filtering,0.6162442717543998,0.35009488926417137,57
RS/Frame Extraction,0.01665493577188733,0.09007450542738354,57
RS/Point Cloud Transformation/Alignment,0.3454242683158698,0.11728306705052625,57
