position_x,position_y,position_z
6.169449950000100991e-01,-4.526137316673872757e-01,1.834368401622684386e-01
6.170510388166214888e-01,-4.528252645653833008e-01,1.831241803861902995e-01
6.171583949660290891e-01,-4.530405355790177446e-01,1.828170681397675856e-01
6.172609464267670987e-01,-4.532517891278743938e-01,1.825223656181115817e-01
6.173669847173642866e-01,-4.534648273709628863e-01,1.822423554909706200e-01
6.174703128505995009e-01,-4.536698084736884296e-01,1.819516353099601136e-01
6.175688785087456445e-01,-4.538708918511882295e-01,1.816498231861463086e-01
6.176701837541210827e-01,-4.540855605471473266e-01,1.813696533531654609e-01
6.177658778619712354e-01,-4.543025517609659558e-01,1.810940646453962355e-01
6.178568065927404485e-01,-4.545217791266778495e-01,1.808215986228557393e-01
6.179410115228937128e-01,-4.547390319271164549e-01,1.805385092066267017e-01
6.180285371162819175e-01,-4.549630782607509416e-01,1.802807809259449612e-01
6.181130449893289525e-01,-4.551882362931344850e-01,1.800210008023729880e-01
6.181874872091366324e-01,-4.554134923548770475e-01,1.797564516374618449e-01
6.182611804403712608e-01,-4.556503229665456733e-01,1.795058105124862635e-01
6.183240139663340740e-01,-4.558797788650524874e-01,1.792347160117544469e-01
6.183852388187350835e-01,-4.561059631514178259e-01,1.789763773797959368e-01
6.184453378676881830e-01,-4.563322642972458265e-01,1.787111083015138768e-01
6.184979295972713453e-01,-4.565526328179647098e-01,1.784368884192539528e-01
6.185550246752818948e-01,-4.567811559890617157e-01,1.781883486507442049e-01
6.186053122936727711e-01,-4.570009313378933236e-01,1.779268015600442565e-01
6.186597099428086111e-01,-4.572265746443016643e-01,1.776870654156459950e-01
6.187061500253510093e-01,-4.574369958571170014e-01,1.774243489234077487e-01
6.187460792832493173e-01,-4.576398972717185543e-01,1.771397919290882972e-01
6.187890597720758779e-01,-4.578427480358929769e-01,1.768775779424023309e-01
6.188387818721237110e-01,-4.580531400264811204e-01,1.766367523567749509e-01
6.188892790485673867e-01,-4.582601916437731293e-01,1.764072441064652996e-01
6.189395846566728698e-01,-4.584613874135970990e-01,1.761855141425836546e-01
6.189884293441249019e-01,-4.586429867281021089e-01,1.759504316479922059e-01
6.190412266090176141e-01,-4.588155975958072008e-01,1.757185918750346354e-01
6.190930669188710045e-01,-4.589727123609990134e-01,1.754725768682557085e-01
6.191426532152841666e-01,-4.591148680492002088e-01,1.752236636032021289e-01
6.191979244189834697e-01,-4.592538399853464126e-01,1.749922718489826390e-01
6.192546874873178231e-01,-4.593810801126190779e-01,1.747606422327488973e-01
6.193130563801152455e-01,-4.595022655602599149e-01,1.745351621407022491e-01
6.193605646824262845e-01,-4.596038073162910242e-01,1.742877223977440382e-01
6.193982386800902518e-01,-4.596961083929200220e-01,1.740270395187609731e-01
6.194333365657327395e-01,-4.597868751336742221e-01,1.737839140022797157e-01
6.194592222498281897e-01,-4.598720808339478716e-01,1.735419158096624392e-01
6.194730615174323107e-01,-4.599556499846042534e-01,1.732864037205616436e-01
6.194768243961181753e-01,-4.600370619804591277e-01,1.730398411959171434e-01
6.194817809771465678e-01,-4.601193166285130198e-01,1.728114347612672297e-01
6.194770291526815464e-01,-4.602015084787113297e-01,1.725812859280606570e-01
6.194513041587805802e-01,-4.602727518382860872e-01,1.723349802524191676e-01
6.194164199016348737e-01,-4.603398163744273353e-01,1.721140454634559058e-01
6.193818684029012145e-01,-4.604099691258996541e-01,1.719017400793753092e-01
6.193314200061024177e-01,-4.604644351877167918e-01,1.716619345302458910e-01
6.192750974422343013e-01,-4.605067861193712919e-01,1.714224340676880898e-01
6.192238748854661523e-01,-4.605528380396674004e-01,1.712170914946468114e-01
6.191638896328186537e-01,-4.605927796325244850e-01,1.710053990154239423e-01
6.190892874967341974e-01,-4.606155498280708471e-01,1.707687484855157090e-01
6.190085615835243527e-01,-4.606353441859029618e-01,1.705475371246900629e-01
6.189237251409802631e-01,-4.606593462848947995e-01,1.703523029000035272e-01
6.188197950151870241e-01,-4.606733908381859810e-01,1.701399713882512099e-01
6.186970408702765489e-01,-4.606685178502586964e-01,1.698949122860830274e-01
6.185650107259167418e-01,-4.606526320011614106e-01,1.696572054080363046e-01
6.184381848663098591e-01,-4.606348096732139630e-01,1.694519582239980560e-01
6.183058317605131249e-01,-4.606096274994486706e-01,1.692551321982657397e-01
6.181488148063912780e-01,-4.605759760905721589e-01,1.690469444984011027e-01
6.179824209746845876e-01,-4.605385734348038107e-01,1.688418325876016313e-01
6.178078972202410979e-01,-4.604879919954789069e-01,1.686337332612029838e-01
6.176272453300493126e-01,-4.604215656126032785e-01,1.684211255202829327e-01
6.174363012167674025e-01,-4.603497917912147130e-01,1.682119932633406867e-01
6.172381670011541921e-01,-4.602776193338538047e-01,1.680113710752475509e-01
6.170423517306073968e-01,-4.602031343010948294e-01,1.678263012074744931e-01
6.168436645336621282e-01,-4.601220133996636874e-01,1.676472286563348013e-01
6.166386611036518417e-01,-4.600273412762538872e-01,1.674589336749611190e-01
6.164321388781504041e-01,-4.599260809591750876e-01,1.672696522093119198e-01
6.162223238703155026e-01,-4.598190028595879886e-01,1.670826039118665229e-01
6.160069906731805434e-01,-4.597072962698757759e-01,1.668988188857110644e-01
6.157895760366361992e-01,-4.595928121715477932e-01,1.667246150824617523e-01
6.155795137562496411e-01,-4.594759726704386593e-01,1.665626198984736239e-01
6.153640110377961436e-01,-4.593490733611748089e-01,1.663962627878911582e-01
6.151502502415574503e-01,-4.592133126287676337e-01,1.662283252642194620e-01
6.149423312652375628e-01,-4.590719808142899594e-01,1.660714177410657078e-01
6.147361688894541487e-01,-4.589236387053337030e-01,1.659205964878111561e-01
6.145286695619092132e-01,-4.587662807915609542e-01,1.657621589818130126e-01
